t[yr],M_FUV,M_NUV,M_u,M_g,M_r
3.6E7,2.3354985,2.3037986,2.3034988,2.0599996,2.0749998
3.61E7,2.3392785,2.3072486,2.3063889,2.0610296,2.0756897
3.62E7,2.3430586,2.3106987,2.3092789,2.0620596,2.0763798
3.63E7,2.3468386,2.3141488,2.312169,2.0630896,2.0770698
3.64E7,2.3506187,2.3175988,2.315059,2.0641196,2.0777598
3.65E7,2.3543988,2.3210489,2.3179491,2.0651497,2.0784498
3.66E7,2.3581788,2.3244989,2.3208391,2.0661797,2.0791398
3.67E7,2.3619589,2.327949,2.3237292,2.0672097,2.0798299
3.68E7,2.365739,2.3313991,2.3266192,2.0682397,2.0805199
3.69E7,2.369519,2.3348491,2.3295093,2.0692697,2.0812099
3.7E7,2.3732991,2.3382992,2.3323993,2.0702998,2.0818999
3.71E7,2.3769894,2.3416795,2.3352695,2.0713398,2.0826699
3.72E7,2.3806797,2.3450597,2.3381398,2.0723799,2.08344
3.73E7,2.3843699,2.3484399,2.34101,2.07342,2.08421
3.74E7,2.3880602,2.3518202,2.3438802,2.0744601,2.08498
3.75E7,2.3917505,2.3552004,2.3467504,2.0755001,2.0857501
3.76E7,2.3954407,2.3585807,2.3496206,2.0765402,2.0865201
3.77E7,2.399131,2.3619609,2.3524908,2.0775803,2.0872901
3.78E7,2.4028213,2.3653412,2.3553611,2.0786204,2.0880601
3.79E7,2.4065116,2.3687214,2.3582313,2.0796605,2.0888302
3.8E7,2.4102019,2.3721017,2.3611015,2.0807006,2.0896003
3.81E7,2.4139919,2.3755617,2.3640415,2.0818006,2.0904803
3.82E7,2.4177819,2.3790218,2.3669815,2.0829006,2.0913603
